STOP_SEQUENCE,CUM_TIME,CUM_DIST
96,37,1.558
92,40,2.011
91,43,2.167
86,46,2.867
82,49,3.359
81,50,3.502
79,52,3.875
75,55,4.366
72,58,4.847
69,61,5.284
66,64,5.936
64,67,6.359
61,70,6.635
58,72,7.035
55,75,7.457
52,78,7.973
48,81,8.715
45,84,9.153
41,87,9.776
36,90,10.374
32,93,10.724
29,96,11.21
26,99,11.805
26,100,11.995
23,102,12.341
19,106,12.974
11,111,14.425
7,114,15.024
4,117,15.768
2,119,16.162
1,0,0
1,1,0.13
1,8,0.13
1,29,0.132
1,41,0.183
2,43,0.418
2,44,0.573
11,50,2.177
16,53,3.081
22,56,4.104
26,59,4.827
29,62,5.403
33,65,6.035
37,68,6.408
42,71,7.068
43,73,7.249
45,74,7.505
49,77,8.207
52,80,8.651
53,82,9.01
54,83,9.065
57,86,9.558
61,89,10.109
63,92,10.312
69,97,11.148
69,98,11.224
72,101,11.771
75,104,12.244
80,107,12.935
83,110,13.316
89,113,14.13
94,116,14.739
99,119,15.485
104,122,16.221
2,0,0
4,1,0.264
6,3,0.813
20,9,3.162
22,12,3.52
27,15,4.335
34,21,5.502
38,23,5.911
43,28,6.601
45,29,6.889
48,32,7.422
54,37,8.375
55,38,8.579
58,41,9.115
62,44,9.675
64,47,9.911
67,50,10.247
69,53,10.698
71,56,11.106
75,59,11.733
80,62,12.413
83,65,12.824
93,71,14.209
100,74,15.063
1,0,0
1,54,0.105
3,56,0.297
12,62,1.987
16,65,2.737
21,68,3.581
24,71,4.077
27,73,4.55
30,77,5.213
33,80,5.688
36,83,5.926
42,86,6.737
43,87,6.869
46,89,7.323
50,92,7.978
53,95,8.591
56,98,8.953
59,101,9.448
63,104,9.927
66,107,10.331
69,108,10.752
69,110,10.911
71,113,11.224
74,116,11.644
77,119,12.165
79,122,12.482
83,123,12.971
85,125,13.212
91,128,14.03
94,130,14.446
99,133,15.177
119,0,0
119,1,0.058
119,4,0.078
119,6,0.207
113,7,0.448
107,10,1.67
105,13,2.213
104,16,2.444
98,19,3.446
94,22,3.981
86,28,4.992
82,31,5.49
81,32,5.618
79,34,6
75,37,6.604
71,40,7.113
69,43,7.505
67,46,7.898
64,49,8.465
61,52,8.714
58,55,9.133
56,58,9.548
53,60,10.052
52,61,10.195
48,64,10.845
45,67,11.271
42,70,11.705
37,73,12.444
33,76,12.764
31,79,13.117
26,82,14.048
26,84,14.15
25,85,14.253
21,0,0
27,3,0.883
34,9,2.038
42,15,3.016
43,17,3.097
45,18,3.392
48,21,3.917
52,24,4.525
53,26,4.88
56,27,5.182
59,30,5.686
61,33,5.994
65,36,6.391
68,39,6.885
69,42,7.096
71,45,7.473
74,48,7.944
76,51,8.324
83,54,9.208
90,60,10.166
95,63,10.727
104,68,12.319
107,69,12.869
112,72,14.069
117,75,14.756
118,76,14.879
20,0,0
20,6,0.011
20,9,0.013
20,18,0.016
20,21,0.018
20,36,0.02
21,38,0.185
28,45,1.477
32,48,2.136
45,57,3.646
52,60,4.713
54,63,5.264
57,66,5.733
60,69,6.076
65,75,6.741
69,78,7.414
71,81,7.789
75,84,8.412
84,90,9.617
96,99,11.153
103,102,12.172
110,108,13.849
114,111,14.558
119,113,14.861
104,0,0
104,3,0
104,9,0.003
104,12,0.004
104,24,0.006
104,27,0.008
104,29,0.08
104,30,0.184
103,31,0.353
102,33,0.677
97,36,1.425
92,39,1.921
89,42,2.495
83,45,3.176
81,46,3.44
79,47,3.762
75,50,4.281
73,53,4.655
70,56,5.044
68,59,5.565
68,61,5.655
66,62,5.923
64,65,6.384
59,68,6.769
56,71,7.163
53,74,7.632
53,76,7.777
50,77,8.231
47,80,8.744
42,83,9.534
38,86,9.993
34,89,10.431
32,92,10.599
31,95,10.833
27,98,11.528
26,100,11.924
24,101,12.176
19,104,12.899
15,107,13.648
10,110,14.581
6,113,15.186
3,116,15.899
119,0,0
119,4,0.009
119,7,0.015
119,10,0.026
119,11,0.036
113,13,0.311
109,16,1.045
105,19,2.06
103,23,2.527
98,25,3.291
93,28,3.914
90,31,4.379
84,34,5.121
81,36,5.507
76,40,6.169
74,43,6.668
71,46,7.038
69,49,7.375
67,51,7.729
66,52,7.936
64,55,8.418
61,58,8.643
57,61,9.178
54,64,9.62
51,67,10.271
47,70,10.91
43,73,11.452
41,75,11.718
40,76,11.973
35,79,12.473
33,82,12.717
28,85,13.431
26,88,14.069
1,0,0
1,1,0.12
1,8,0.122
1,14,0.123
1,20,0.131
1,23,0.139
1,26,0.142
1,29,0.144
1,32,0.147
1,35,0.151
1,38,0.151
1,40,0.202
2,43,0.418
