STOP_SEQUENCE,CUM_TIME,CUM_DIST
37,21,3.843
34,24,4.12
31,27,4.454
28,30,4.897
26,33,5.333
24,36,5.807
19,40,6.531
17,42,6.82
11,48,7.92
8,51,8.44
6,54,8.847
3,57,9.516
2,58,9.745
1,63,9.923
1,0,0
2,1,0.117
2,3,0.264
5,6,0.741
7,8,1.401
10,11,1.706
13,14,2.312
17,17,3.031
21,21,3.672
25,23,4.263
27,26,4.663
28,29,5.009
30,32,5.346
33,35,5.8
38,38,6.305
42,41,6.882
43,42,7.023
47,47,7.6
50,50,8.144
53,53,8.808
58,59,9.417
61,62,9.802
64,65,10.097
67,68,10.542
69,70,10.942
69,71,10.994
71,74,11.37
74,77,11.846
77,80,12.36
80,83,12.756
83,85,13.149
84,86,13.328
90,89,13.953
93,92,14.506
98,95,15.056
104,98,16.085
104,0,0
103,2,0.271
95,5,1.502
91,8,1.99
86,11,2.679
83,14,3.139
81,16,3.345
79,17,3.729
75,20,4.211
71,23,4.834
70,26,5.056
68,29,5.536
67,30,5.676
65,32,5.987
64,35,6.359
61,38,6.587
58,41,6.998
56,44,7.381
53,47,7.724
53,48,7.907
50,50,8.392
47,53,8.935
44,56,9.314
40,59,9.902
35,62,10.462
32,65,10.754
29,68,11.237
26,71,11.883
26,74,12.022
21,77,12.624
19,80,12.999
13,86,14.05
10,89,14.659
7,92,15.128
3,95,16.073
1,96,16.334
2,0,0
4,1,0.264
6,3,0.813
20,9,3.162
22,12,3.52
27,15,4.335
34,21,5.502
38,23,5.911
43,28,6.601
45,29,6.889
48,32,7.422
54,37,8.375
55,38,8.579
58,41,9.115
62,44,9.675
64,47,9.911
67,50,10.247
69,53,10.698
71,56,11.106
75,59,11.733
80,62,12.413
83,65,12.824
93,71,14.209
100,74,15.063
104,77,15.775
104,0,0
103,1,0.152
102,3,0.402
98,6,0.987
94,9,1.556
90,12,2.076
87,15,2.426
82,18,3.084
78,21,3.658
74,24,4.225
71,27,4.758
69,30,5.107
67,32,5.452
67,33,5.605
62,36,6.163
61,39,6.289
57,42,6.826
55,44,7.22
52,47,7.69
47,50,8.628
43,53,9.152
41,55,9.436
38,56,9.897
33,59,10.397
31,62,10.767
28,65,11.239
25,69,11.813
19,74,12.809
4,86,15.529
2,89,15.961
1,90,16.088
1,0,0
2,7,0.192
3,9,0.386
5,12,0.852
8,15,1.534
16,21,2.838
20,24,3.488
21,25,3.655
23,27,3.959
26,30,4.528
29,33,5.099
31,36,5.476
34,39,5.826
38,42,6.238
43,45,6.905
46,48,7.362
50,51,8.077
53,54,8.545
53,56,8.697
55,57,8.918
57,60,9.376
61,63,9.882
63,66,10.096
65,69,10.29
67,72,10.576
69,73,10.967
70,75,11.309
73,78,11.705
75,81,12.062
78,84,12.532
82,87,13.029
83,88,13.143
84,90,13.301
89,93,13.843
90,96,14.083
93,99,14.532
98,102,15.094
104,107,16.15
104,0,0
103,2,0.376
98,5,1.133
94,8,1.683
91,11,2.065
87,14,2.609
81,19,3.356
80,20,3.577
75,23,4.21
72,26,4.689
70,29,4.984
68,32,5.409
67,34,5.649
65,35,5.919
64,38,6.312
62,41,6.498
58,44,6.943
56,47,7.394
54,50,7.657
52,53,8.038
49,56,8.511
45,59,9.16
41,63,9.732
39,65,10.042
34,68,10.552
31,71,10.837
28,74,11.372
26,77,11.81
26,79,12.011
19,85,12.992
14,89,13.87
11,92,14.403
8,95,14.925
4,98,15.742
2,101,16.175
1,102,16.36
1,0,0
2,1,0.111
3,4,0.284
8,9,1.45
11,12,1.923
14,16,2.392
18,18,3.076
20,21,3.444
25,24,4.16
27,27,4.631
28,30,4.92
32,33,5.615
39,39,6.288
42,42,6.65
44,45,6.985
48,48,7.607
51,51,8.169
53,54,8.582
56,57,8.928
57,59,9.18
57,60,9.183
59,63,9.445
62,66,9.816
65,69,10.207
68,72,10.744
70,75,11.146
72,78,11.424
75,81,11.887
78,84,12.378
80,87,12.594
82,90,12.893
86,93,13.404
90,96,13.899
93,99,14.388
98,101,14.948
103,104,15.73
104,107,16.011
104,0,0
103,3,0.276
94,8,1.665
91,11,2.059
88,14,2.512
84,17,2.957
80,20,3.475
76,23,4.002
73,26,4.541
70,29,4.921
67,33,5.572
65,35,5.879
64,38,6.262
59,41,6.668
56,44,7.019
54,47,7.394
53,49,7.763
50,50,8.168
48,53,8.606
45,56,9.002
41,59,9.567
37,62,10.15
33,65,10.436
31,68,10.755
28,71,11.261
25,74,11.908
21,77,12.543
19,79,12.854
10,86,14.501
7,89,14.952
4,92,15.578
1,95,16.01
1,0,0
3,3,0.204
11,11,1.797
14,15,2.313
18,17,3.1
22,20,3.617
26,23,4.416
29,26,4.993
31,29,5.352
35,32,5.776
42,35,6.655
46,38,7.17
50,41,7.821
53,44,8.414
53,45,8.519
56,47,8.899
59,50,9.339
62,53,9.693
64,56,9.862
68,59,10.658
69,62,10.794
72,65,11.335
76,68,11.913
82,71,12.745
83,72,12.844
88,74,13.453
92,77,14.123
97,80,14.687
102,83,15.45
113,89,17.736
34,0,0
31,5,0.536
26,8,1.541
26,9,1.646
20,11,2.495
19,12,2.65
3,20,5.615
2,21,5.824
1,22,6.013
1,0,0
2,1,0.136
3,3,0.313
14,9,2.412
21,12,3.598
27,15,4.573
31,17,5.403
38,20,6.061
43,23,6.815
48,26,7.569
52,29,8.241
53,30,8.514
56,32,8.83
59,35,9.329
63,38,9.871
68,41,10.547
69,42,10.719
71,44,11.192
74,47,11.642
79,50,12.331
81,53,12.732
83,54,12.93
87,56,13.485
93,59,14.279
97,62,14.782
104,65,15.887
104,66,16.013
112,71,17.66
118,75,18.349
119,76,18.494
119,0,0
112,1,0.415
107,4,1.55
104,7,2.184
103,8,2.368
99,10,3.04
93,13,3.762
90,16,4.228
86,19,4.727
82,22,5.21
81,24,5.388
79,25,5.742
74,28,6.417
71,31,6.924
68,34,7.453
67,37,7.682
64,40,8.246
60,43,8.589
56,46,9.091
53,49,9.515
53,50,9.715
50,52,10.218
46,55,10.828
41,58,11.595
37,61,12.089
33,64,12.485
29,67,13.073
27,70,13.595
25,71,13.884
19,76,14.849
15,79,15.591
12,82,16.158
8,85,16.712
6,88,17.281
2,91,17.998
1,92,18.237
1,0,0
2,3,0.216
3,4,0.381
7,6,1.266
13,9,2.231
17,12,3.065
21,15,3.679
26,18,4.524
27,20,4.657
28,21,4.982
31,24,5.508
34,27,5.858
38,30,6.273
43,34,6.935
45,36,7.248
49,39,7.925
52,42,8.465
53,44,8.728
55,45,8.95
57,48,9.343
59,51,9.656
63,54,10.092
66,57,10.485
69,59,10.982
69,60,11.032
72,63,11.563
75,66,12.049
80,69,12.728
83,72,13.142
87,75,13.692
91,78,14.179
100,84,15.448
104,87,16.08
104,0,0
103,1,0.24
101,3,0.65
97,6,1.242
93,9,1.659
90,12,2.128
85,15,2.735
83,18,3.045
81,21,3.268
77,24,3.771
74,27,4.353
71,30,4.808
68,33,5.435
65,36,5.772
61,39,6.159
59,42,6.557
56,45,6.938
54,47,7.299
52,49,7.636
50,50,8.056
46,53,8.713
43,56,9.191
41,58,9.425
40,59,9.666
36,62,10.118
33,65,10.35
31,68,10.66
28,71,11.082
25,74,11.837
21,77,12.451
19,79,12.734
18,80,12.954
14,83,13.746
10,86,14.325
7,89,14.761
5,92,15.39
2,95,15.905
1,97,16.068
1,0,0
3,3,0.27
8,9,1.455
13,12,2.086
16,15,2.698
20,18,3.363
26,25,4.531
31,30,5.308
33,33,5.638
36,36,5.905
41,39,6.537
43,40,6.833
45,42,7.112
49,45,7.773
53,48,8.486
53,50,8.606
54,51,8.744
57,54,9.177
60,57,9.543
62,60,9.87
67,66,10.443
69,69,10.809
70,72,11.177
73,75,11.514
75,78,11.905
79,80,12.404
83,83,13.004
85,86,13.277
88,89,13.616
89,91,13.719
90,92,13.895
93,95,14.352
95,98,14.681
97,100,14.873
98,101,15.023
102,104,15.673
104,108,16.084
104,0,0
103,3,0.233
97,6,1.205
91,9,1.866
86,12,2.602
82,15,3.083
81,17,3.237
80,18,3.407
75,21,4.054
72,24,4.593
68,27,5.195
67,28,5.466
65,30,5.849
64,33,6.137
61,36,6.364
58,39,6.772
56,42,7.154
53,45,7.556
53,46,7.676
50,48,8.114
48,51,8.472
45,53,8.973
41,56,9.477
36,59,10.127
32,62,10.444
29,65,10.973
27,68,11.34
26,71,11.762
19,75,12.744
16,77,13.289
10,83,14.395
6,86,15.003
4,89,15.544
2,91,15.936
1,93,16.114
1,0,0
2,3,0.287
4,6,0.599
7,9,1.307
10,12,1.788
13,15,2.256
16,18,2.838
20,21,3.6
21,22,3.745
25,24,4.318
